Id,Label
1,9
2,3
3,6
4,9
5,7
6,8
7,6
8,7
9,1
10,6
11,6
12,3
13,9
14,8
15,6
16,4
17,9
18,8
19,2
20,5
21,0
22,5
23,0
24,3
25,0
26,8
27,4
28,7
29,9
30,5
31,1
32,7
33,1
34,7
35,6
36,0
37,1
38,3
39,4
40,2
41,3
42,1
43,3
44,4
45,4
46,0
47,2
48,3
49,2
50,7
51,5
52,4
53,5
54,2
55,2
56,4
57,9
58,7
59,9
60,3
61,3
62,4
63,6
64,5
65,6
66,7
67,7
68,6
69,1
70,0
71,9
72,6
73,3
74,3
75,0
76,6
77,0
78,7
79,6
80,3
81,4
82,7
83,4
84,9
85,9
86,7
87,6
88,4
89,2
90,4
91,1
92,3
93,1
94,3
95,9
96,5
97,7
98,8
99,5
100,0
101,2
102,9
103,6
104,1
105,6
106,0
107,0
108,6
109,5
110,5
111,4
112,8
113,8
114,1
115,3
116,0
117,1
118,3
119,8
120,4
121,2
122,1
123,7
124,8
125,5
126,1
127,0
128,1
129,4
130,4
131,8
132,6
133,3
134,4
135,9
136,4
137,4
138,8
139,7
140,0
141,3
142,6
143,5
144,3
145,8
146,4
147,7
148,7
149,3
150,1
151,8
152,2
153,0
154,5
155,3
156,2
157,3
158,0
159,2
160,0
161,1
162,7
163,8
164,8
165,4
166,5
167,5
168,2
169,1
170,6
171,4
172,3
173,0
174,0
175,8
176,5
177,9
178,4
179,9
180,4
181,8
182,2
183,0
184,5
185,8
186,1
187,0
188,6
189,7
190,2
191,9
192,0
193,2
194,9
195,3
196,6
197,1
198,7
199,2
200,7
201,0
202,3
203,6
204,2
205,4
206,4
207,8
208,9
209,7
210,9
211,3
212,9
213,8
214,7
215,1
216,2
217,3
218,3
219,5
220,6
221,4
222,7
223,0
224,8
225,4
226,7
227,4
228,5
229,3
230,5
231,1
232,4
233,7
234,0
235,8
236,5
237,6
238,2
239,1
240,4
241,7
242,3
243,2
244,1
245,8
246,8
247,0
248,2
249,9
250,6
251,8
252,2
253,4
254,3
255,1
256,4
257,1
258,7
259,6
260,6
261,5
262,8
263,8
264,8
265,4
266,9
267,2
268,7
269,2
270,9
271,8
272,9
273,5
274,7
275,5
276,5
277,2
278,8
279,1
280,9
281,1
282,5
283,0
284,9
285,2
286,3
287,2
288,0
289,3
290,9
291,6
292,8
293,5
294,7
295,8
296,1
297,4
298,3
299,9
300,2
301,3
302,4
303,9
304,4
305,1
306,9
307,0
308,2
309,6
310,1
311,7
312,2
313,7
314,0
315,2
316,7
317,9
318,2
319,1
320,4
321,6
322,8
323,5
324,4
325,5
326,8
327,3
328,9
329,6
330,9
331,0
332,4
333,5
334,9
335,5
336,8
337,5
338,5
339,7
340,1
341,7
342,4
343,7
344,3
345,3
346,5
347,3
348,7
349,5
350,0
351,2
352,1
353,4
354,4
355,4
356,4
357,3
358,9
359,7
360,2
361,9
362,1
363,2
364,3
365,7
366,6
367,9
368,4
369,0
370,5
371,9
372,3
373,6
374,7
375,0
376,0
377,1
378,4
379,3
380,9
381,8
382,8
383,8
384,5
385,6
386,0
387,5
388,6
389,1
390,9
391,3
392,7
393,0
394,4
395,7
396,6
397,4
398,9
399,9
400,8
401,6
402,1
403,9
404,5
405,2
406,2
407,8
408,2
409,6
410,6
411,3
412,5
413,0
414,3
415,2
416,8
417,9
418,1
419,1
420,5
421,2
422,7
423,5
424,6
425,5
426,0
427,4
428,5
429,7
430,8
431,5
432,9
433,8
434,8
435,1
436,7
437,1
438,8
439,3
440,2
441,1
442,5
443,0
444,1
445,9
446,5
447,8
448,8
449,5
450,9
451,2
452,1
453,3
454,2
455,2
456,2
457,2
458,9
459,0
460,7
461,2
462,5
463,8
464,7
465,2
466,6
467,2
468,6
469,7
470,9
471,1
472,0
473,6
474,0
475,8
476,2
477,7
478,4
479,3
480,9
481,9
482,0
483,9
484,4
485,5
486,6
487,6
488,8
489,6
490,1
491,1
492,8
493,6
494,7
495,5
496,8
497,1
498,9
499,1
500,5
