id,label
1,1
2,1
3,1
4,1
5,4
6,1
7,4
8,5
9,5
10,2
11,1
12,1
13,7
14,7
15,1
16,0
17,4
18,2
19,6
20,4
21,5
22,4
23,7
24,6
25,2
26,1
27,0
28,4
29,7
30,0
31,5
32,4
33,3
34,6
35,7
36,4
37,0
38,1
39,0
40,6
41,1
42,6
43,0
44,2
45,5
46,5
47,6
48,0
49,5
50,8
51,4
52,5
53,0
54,5
55,5
56,0
57,1
58,4
59,7
60,0
61,1
62,7
63,2
64,1
65,1
66,6
67,6
68,1
69,5
70,5
71,5
72,7
73,0
74,1
75,5
76,2
77,5
78,5
79,1
80,6
81,3
82,4
83,7
84,4
85,1
86,5
87,1
88,0
89,1
90,7
91,5
92,6
93,4
94,7
95,1
96,0
97,6
98,7
99,1
100,5
101,1
102,3
103,1
104,4
105,1
106,4
107,1
108,2
109,0
110,0
111,7
112,1
113,1
114,6
115,0
116,4
117,8
118,0
119,7
120,5
121,1
122,5
123,6
124,1
125,0
126,6
127,5
128,0
129,5
130,5
131,1
132,2
133,6
134,8
135,7
136,0
137,5
138,1
139,4
140,5
141,0
142,1
143,4
144,4
145,1
146,5
147,6
148,6
149,0
150,5
151,1
152,6
153,5
154,4
155,1
156,6
157,1
158,4
159,6
160,5
161,5
162,6
163,1
164,4
165,0
166,0
167,7
168,6
169,5
170,1
171,5
172,4
173,4
174,1
175,1
176,1
177,1
178,0
179,7
180,0
181,1
182,1
183,5
184,2
185,4
186,5
187,4
188,1
189,6
190,6
191,1
192,5
193,5
194,1
195,1
196,2
197,3
198,4
199,6
200,9
201,5
202,1
203,7
204,5
205,7
206,0
207,1
208,1
209,5
210,7
211,0
212,1
213,4
214,6
215,6
216,6
217,0
218,0
219,4
220,7
221,6
222,6
223,4
224,1
225,0
226,6
227,9
228,0
229,0
230,7
231,0
232,5
233,6
234,5
235,1
236,2
237,1
238,6
239,5
240,5
241,6
242,4
243,1
244,6
245,1
246,1
247,2
248,5
249,1
250,2
251,7
252,6
253,5
254,0
255,0
256,5
257,3
258,0
259,7
260,1
261,1
262,1
263,1
264,0
265,3
266,4
267,1
268,8
269,6
270,7
271,0
272,7
273,0
274,6
275,7
276,2
277,5
278,1
279,9
280,1
281,2
282,0
283,1
284,7
285,1
286,0
287,5
288,7
289,0
290,1
291,1
292,1
293,1
294,6
295,7
296,6
297,9
298,2
299,1
300,6
301,1
302,0
303,1
304,7
305,5
306,1
307,4
308,6
309,1
310,5
311,2
312,1
313,6
314,5
315,8
316,2
317,7
318,6
319,7
320,0
321,7
322,1
323,0
324,0
325,1
326,1
327,0
328,1
329,2
330,1
331,1
332,0
333,4
334,7
335,1
336,1
337,0
338,4
339,4
340,3
341,5
342,3
343,4
344,6
345,0
346,4
347,1
348,5
349,0
350,5
351,6
352,6
353,5
354,5
355,7
356,5
357,0
358,7
359,6
360,1
361,1
362,3
363,5
364,0
365,6
366,9
367,0
368,0
369,7
370,1
371,7
372,1
373,1
374,6
375,5
376,7
377,5
378,9
379,0
380,1
381,7
382,1
383,7
384,4
385,1
386,5
387,0
388,1
389,6
390,1
391,1
392,2
393,4
394,0
395,6
396,4
397,7
398,6
399,1
400,1
401,1
402,5
403,1
404,0
405,6
406,1
407,1
408,1
409,2
410,1
411,0
412,0
413,4
414,0
415,6
416,7
417,7
418,5
419,2
420,4
421,5
422,5
423,1
424,4
425,1
426,4
427,5
428,2
429,5
430,1
431,0
432,1
433,1
434,7
435,6
436,6
437,5
438,1
439,6
440,6
441,5
442,0
443,5
444,0
445,4
446,7
447,7
448,4
449,7
450,1
451,5
452,5
453,0
454,5
455,5
456,0
457,6
458,3
459,5
460,0
461,5
462,0
463,1
464,6
465,5
466,7
467,6
468,2
469,6
470,7
471,6
472,5
473,2
474,5
475,1
476,5
477,4
478,5
479,2
480,0
481,1
482,7
483,1
484,0
485,1
486,1
487,7
488,4
489,1
490,5
491,8
492,1
493,7
494,6
495,0
496,7
497,5
498,6
499,5
500,1
